Date,Price,Risk
15/5/11,8.5,0.621
16/5/11,8.39,0.606
17/5/11,7.87,0.576
18/5/11,7.34,0.546
19/5/11,7.1,0.529
20/5/11,6.6,0.502
21/5/11,6.61,0.496
22/5/11,7.45,0.523
23/5/11,7.2,0.507
24/5/11,7.51,0.512
25/5/11,9.33,0.566
26/5/11,8.92,0.545
27/5/11,8.73,0.531
28/5/11,8.5,0.517
29/5/11,9,0.526
30/5/11,9.5,0.534
31/5/11,9.39,0.524
1/6/2011,10.57,0.55
2/6/2011,14.3,0.635
3/6/2011,17.41,0.69
4/6/2011,19,0.705
