Date,Price,Risk
5/4/2011,0.75,0.227
6/4/2011,0.77,0.23
7/4/2011,0.8,0.235
8/4/2011,0.77,0.229
9/4/2011,0.76,0.227
10/4/2011,0.78,0.231
11/4/2011,0.9,0.25
12/4/2011,1,0.266
13/4/11,0.94,0.255
14/4/11,1.09,0.277
15/4/11,1.09,0.277
16/4/11,1.08,0.275
17/4/11,1.2,0.29
18/4/11,1.19,0.288
19/4/11,1.2,0.288
20/4/11,1.2,0.286
21/4/11,1.33,0.303
22/4/11,1.55,0.329
23/4/11,1.95,0.371
24/4/11,1.7,0.342
25/4/11,1.73,0.343
26/4/11,1.95,0.365
27/4/11,2.65,0.428
28/4/11,2.7,0.428
29/4/11,4.15,0.533
30/4/11,4.09,0.522
1/5/2011,3.5,0.474
2/5/2011,3.49,0.468
3/5/2011,3.58,0.469
4/5/2011,3.5,0.458
5/5/2011,3.6,0.46
6/5/2011,3.7,0.462
7/5/2011,3.9,0.471
8/5/2011,3.94,0.468
9/5/2011,5.2,0.536
10/5/2011,6.07,0.573
11/5/2011,5.95,0.558
12/5/2011,8.45,0.659
13/5/11,8.9,0.662
14/5/11,8.55,0.635
